School_ID	Country	Year	Location_District	Location_SubDistrict	School_Level	Enrollment_Total	Enrollment_Girls	Handwashing_Facilities	Handwashing_Availability_Score	Handwashing_Soap_Availability	Safe_Drinking_Water	DrinkingWater_Source	DrinkingWater_Quality_Tested	Toilet_Availability	Toilet_Separation_Girls_Boys	Toilet_Functional_Count	Toilet_Cleanliness_Score	MHM_Facilities	MHM_Privacy_Space	MHM_Disposal_Facilities	Hygiene_Policy	Hygiene_Curriculum_Integration	Teacher_Training_Hygiene	Notes_English	Notes_Bangla	
101	Bangladesh	2022	Dhaka	Dhanmondi	Primary	300	150	Available	4	Yes	Available	Municipal	Yes	Sufficient	Yes	6	4	Available	Yes	Yes	Exists	Yes	Yes	This school in Dhanmondi has sufficient facilities for hygiene and sanitation.	ধানমন্ডির এই স্কুলে স্বাস্থ্যবিধি ও স্যানিটেশন সুবিধা যথেষ্ট।	
102	Bangladesh	2022	Dhaka	Uttara	Secondary	600	300	Available but limited	3	Yes	Available	Municipal	No	Limited	Yes	4	3	Rarely available	No	No	Exists but poorly implemented	No	Yes	Limited hygiene infrastructure despite some facilities being present.	কিছু সুবিধা থাকলেও স্বাস্থ্যবিধি অবকাঠামো সীমিত।	
103	Bangladesh	2022	Dhaka	Mirpur	College	1000	500	Not available	1	No	Not available	Tube well	No	Almost none	No	0	1	Not applicable	No	No	Absent	No	No	Colleges in Mirpur lack basic WASH facilities.	মিরপুরের কলেজগুলোতে মৌলিক ওয়াশ সুবিধার অভাব।	
104	Bangladesh	2023	Dhaka	Gazipur	Primary	320	160	Available	4	Yes	Available	Tube well	Yes	Sufficient	Yes	6	4	Available	Yes	Yes	Exists	Yes	Yes	Gazipur schools are improving hygiene standards over the years.	গাজীপুরের স্কুলগুলো বছরে বছরে স্বাস্থ্যবিধি মান উন্নত করছে।	
105	Bangladesh	2023	Dhaka	Narayanganj	Secondary	700	350	Basic	2	Limited	Available	Tube well	No	Limited	Yes	3	2	Rarely available	No	No	Not monitored	No	Yes	Toilet separation and hygiene policy are weak in Narayanganj.	নারায়ণগঞ্জে টয়লেট পৃথককরণ ও স্বাস্থ্যনীতি দুর্বল।	
106	Bangladesh	2023	Dhaka	Narsingdi	College	1200	600	Available but limited	3	Yes	Limited	Municipal	Yes	Very limited	Yes	4	3	Not available	No	No	Exists but poorly implemented	Yes	Yes	Narsingdi colleges show signs of hygiene efforts, but more needed.	নরসিংদীর কলেজগুলোতে স্বাস্থ্য সচেতনতার কিছু লক্ষণ দেখা গেলেও আরও উন্নতি দরকার।	
301	Bangladesh	2023	Dhaka	Savar	Secondary	920	460	Available but limited	3	Yes	Limited	Municipal	No	Not sufficient	Yes	5	2	Not available	No	No	Exists but poorly implemented	Yes	No	Many secondary schools in Savar have handwashing facilities, but dedicated clean toilets are scarce.	সাভারের অনেক মাধ্যমিক বিদ্যালয়ে হাত ধোয়ার ব্যবস্থা থাকলেও	পরিচ্ছন্ন টয়লেট বিরল।
302	Bangladesh	2023	Dhaka	Dhamrai	Primary	380	190	Not available	1	No	Not available	Tube well	No	Almost none	No	0	1	Not applicable	No	No	Absent	No	No	Rural primary schools in Dhamrai severely lack basic sanitation infrastructure.	ধামরাইয়ের গ্রামীণ প্রাথমিক বিদ্যালয়গুলিতে মৌলিক স্যানিটেশন অবকাঠামোর তীব্র অভাব রয়েছে।	
303	Bangladesh	2023	Dhaka	Keraniganj	College	1500	750	Basic	2	Limited	Limited	Municipal	Yes	Very limited	Yes	4	3	Rarely available	No	No	Not monitored	Yes	Yes	Colleges in Keraniganj show hygiene awareness, but struggle with adequate and well-maintained facilities.	কেরানীগঞ্জের কলেজগুলিতে স্বাস্থ্যবিধি সম্পর্কে সচেতনতা থাকলেও	পর্যাপ্ত ও সুসংগঠিত সুবিধার অভাব রয়েছে।
304	Bangladesh	2024	Dhaka	Savar	Primary	400	200	Basic	3	Limited	Available	Tube well	Yes	Limited	Yes	3	2	Not applicable	No	No	Absent	Yes	No	Some primary schools in Savar saw improvements in basic handwashing stations and water supply in 2024.	সাভারের কিছু প্রাথমিক বিদ্যালয়ে 2024 সালে মৌলিক হাত ধোয়ার স্টেশন এবং জল সরবরাহের উন্নতি হয়েছে।	
